Rank,Zip Code,Population
1,90011,"109,511"
2,90650,"103,427"
3,91331,"102,553"
4,94565,"100,700"
5,90044,"100,225"
6,92336,"98,896"
7,92335,"97,358"
8,90805,"96,840"
9,90250,"96,730"
10,90201,"96,605"
11,90280,"93,207"
12,91342,"92,764"
13,92683,"91,267"
14,92503,"90,256"
15,91911,"88,589"
16,93722,"88,116"
17,92345,"87,994"
18,93307,"87,133"
19,92376,"86,826"
20,92804,"86,503"
21,95076,"85,739"
22,92154,"85,024"
23,94112,"84,477"
24,93033,"84,188"
25,95823,"83,021"
26,93550,"82,580"
27,91710,"82,192"
28,92592,"82,090"
29,91744,"81,156"
30,92509,"80,036"
31,95035,"79,769"
32,94533,"79,665"
33,92704,"79,641"
34,93727,"79,596"
35,93535,"79,522"
36,90706,"79,070"
37,93257,"78,754"
38,93274,"78,369"
39,91709,"78,333"
40,91335,"78,205"
41,92126,"78,097"
42,94544,"77,692"
43,92563,"76,795"
44,91910,"76,291"
45,90003,"75,190"
46,92880,"74,933"
47,93306,"74,518"
48,95630,"73,815"
49,92805,"73,736"
50,91706,"73,652"
51,92553,"73,632"
52,93536,"73,417"
53,92105,"73,085"
54,93065,"72,991"
55,94536,"72,744"
56,90255,"72,488"
57,95747,"72,208"
58,94509,"71,669"
59,91766,"71,380"
60,95123,"71,118"
61,92021,"71,006"
62,94110,"70,859"
63,94587,"70,828"
64,92882,"70,257"
65,95687,"69,825"
66,94568,"69,818"
67,91730,"69,787"
68,90631,"69,601"
69,94541,"69,294"
70,90037,"68,885"
71,92407,"68,662"
72,95624,"68,434"
73,91402,"68,076"
74,95020,"67,851"
75,92114,"67,745"
76,93230,"67,486"
77,90262,"67,210"
78,94080,"66,652"
79,92630,"66,621"
80,94538,"66,474"
81,94558,"66,345"
82,93906,"66,223"
83,94513,"66,087"
84,95206,"65,966"
85,90026,"65,921"
86,91977,"65,722"
87,92801,"65,662"
88,95758,"65,416"
89,90022,"65,110"
90,94806,"65,072"
91,94015,"64,754"
92,92677,"64,608"
93,91343,"64,519"
94,92703,"64,387"
95,92404,"64,146"
96,92562,"63,968"
97,93905,"63,949"
98,95608,"63,730"
99,94501,"63,588"
100,92201,"63,325"
101,95127,"63,103"
102,90640,"62,941"
103,93309,"62,804"
104,90731,"62,647"
105,92627,"62,575"
106,90660,"62,383"
107,95014,"62,185"
108,95828,"61,730"
109,91762,"61,690"
110,91702,"61,684"
111,92115,"61,450"
112,93291,"61,418"
113,93313,"61,245"
114,90019,"61,061"
115,92392,"61,014"
116,95111,"60,687"
117,92647,"60,592"
118,95051,"60,582"
119,92707,"60,478"
120,92620,"60,344"
121,91761,"60,342"
122,92223,"60,328"
123,92020,"60,222"
124,94122,"60,144"
125,92346,"60,133"
126,92071,"59,826"
127,93458,"59,814"
128,94087,"59,771"
129,92507,"59,767"
130,91732,"59,749"
131 TIE,91770,"59,685"
131 TIE,95670,"59,685"
133,92570,"59,667"
134,90042,"59,658"
135,90004,"59,621"
136,95355,"59,597"
137,92530,"58,927"
138,92571,"58,773"
139,95112,"58,489"
140,92057,"58,444"
141,94591,"58,373"
142,91950,"58,349"
143,90745,"58,327"
144,90001,"58,245"
145,92504,"58,173"
146,93030,"58,019"
147,92324,"57,931"
148,93312,"57,625"
149,92130,"57,197"
150,92708,"57,139"
151,90006,"57,136"
152,90744,"57,030"
153,92027,"56,878"
154,90813,"56,420"
155,91764,"56,317"
156,93063,"56,198"
157,93436,"56,165"
158,94109,"56,114"
159,92646,"55,939"
160,95023,"55,905"
161,91405,"55,751"
162,93215,"55,487"
163,91786,"55,405"
164,95376,"55,314"
165,92117,"55,195"
166,95350,"55,097"
167,92399,"55,016"
168,93117,"54,915"
169,90066,"54,913"
170,93308,"54,857"
171,91745,"54,853"
172,92780,"54,840"
173,92584,"54,837"
174,93551,"54,808"
175,93277,"54,649"
176,91344,"54,465"
177,91406,"54,404"
178,90002,"54,384"
179,92618,"54,368"
180,91304,"54,264"
181,92557,"54,225"
182,95122,"54,100"
183,95648,"54,074"
184,92056,"54,045"
185,91801,"53,976"
186,90723,"53,938"
187,94539,"53,762"
188,92129,"53,742"
189,91913,"53,725"
190,92840,"53,681"
191,93003,"53,549"
192,95125,"53,478"
193,90034,"53,321"
194,92078,"53,247"
195,92833,"53,188"
196,92656,"53,169"
197,92870,"53,126"
198,90063,"52,954"
199,94601,"52,950"
200,92505,"52,807"
201,95616,"52,779"
202,91605,"52,661"
203,95124,"52,442"
204,92544,"52,364"
205,95037,"52,321"
206,95116,"52,245"
207,95207,"52,154"
208,95757,"52,105"
209,92026,"51,953"
210,92234,"51,836"
211,93638,"51,669"
212,90047,"51,494"
213,90220,"51,480"
214,92113,"51,461"
215,90018,"51,388"
216,92127,"50,852"
217,92024,"50,840"
218,92025,"50,831"
