Rank,Zip Code,Population
1,20906,"70,985"
2,21234,"66,011"
3,20878,"65,999"
4,21740,"63,413"
5,20874,"62,270"
6,21122,"61,212"
7,21222,"59,622"
8,21117,"59,321"
9,20744,"56,185"
10,21061,"55,960"
11,20904,"55,912"
12,20902,"53,476"
13,20772,"53,161"
14,21215,"52,550"
15,21207,"51,927"
16,20850,"51,707"
17,21206,"51,643"
18,21228,"50,781"
19,20774,"50,483"
20,20854,"49,684"
21,20783,"49,648"
22,20852,"48,194"
23,21043,"47,358"
24,21218,"47,081"
25,21224,"46,110"
26,20910,"44,812"
27,21921,"44,793"
28,21702,"44,783"
29,21044,"44,662"
30,20706,"44,305"
31,21229,"43,933"
32,21221,"43,576"
33,21042,"42,952"
34,21502,"42,049"
35,20785,"41,655"
36,21220,"41,627"
37,20747,"41,445"
38,20748,"40,644"
39,21045,"40,522"
40,21701,"40,203"
41,21157,"39,978"
42,21236,"39,876"
43,21093,"39,817"
44,21401,"39,517"
45,21703,"39,438"
46,20735,"39,181"
47,20743,"38,742"
48,21804,"38,566"
49,20817,"38,286"
50,21244,"38,266"
51,20740,"37,168"
52,20877,"37,094"
53,21060,"37,038"
54,21784,"36,809"
55,21144,"36,625"
56,20901,"36,493"
57,21208,"36,447"
58,21014,"36,247"
59,20707,"36,020"
60,21075,"35,516"
61,20723,"35,342"
62,21136,"35,306"
63,21113,"35,242"
64,21212,"34,525"
65,20782,"34,492"
66,21227,"34,471"
67,20886,"34,436"
68,21225,"34,362"
69,21742,"34,190"
70,21230,"33,995"
71,21403,"32,655"
72,20784,"32,355"
73,21009,"31,964"
74,20603,"31,897"
75,21771,"31,755"
76,21217,"31,694"
77,20853,"31,670"
78,21133,"31,383"
79,20815,"31,235"
80,21237,"30,895"
81,21015,"30,781"
82,20721,"30,771"
83,21801,"30,692"
84,21209,"30,146"
85,20745,"29,736"
86,20814,"29,685"
87,21239,"29,619"
88,21213,"29,579"
89,20770,"28,820"
90,21146,"28,410"
91,20602,"28,277"
92,20705,"27,914"
93,20746,"27,669"
94,21216,"27,643"
95,20708,"27,262"
96,20879,"27,244"
97,20715,"26,880"
98,20601,"26,740"
99,20903,"26,728"
100,20653,"26,480"
101,20871,"26,366"
102,20912,"26,120"
103,20720,"26,042"
104,20876,"25,963"
105,21114,"25,955"
106,21030,"25,900"
107,20832,"25,852"
108,21001,"25,708"
109,21040,"24,811"
110,21811,"24,187"
111,20659,"23,990"
112,20737,"23,562"
113,21012,"23,536"
114,21601,"23,373"
115,20716,"22,390"
116,21158,"22,221"
117,21214,"21,924"
118,21037,"21,420"
119,21204,"21,378"
120,21202,"21,314"
121,21286,"21,119"
122,20646,"20,608"
123,21223,"20,531"
124,20657,"20,420"
125,21409,"19,878"
126,21078,"19,760"
127,21076,"19,684"
128,20895,"19,051"
129,21901,"18,635"
130,21050,"18,193"
131,20724,"18,059"
132,20905,"17,984"
133,21201,"17,773"
134,21613,"17,688"
135,20816,"17,433"
136,21704,"17,372"
137,21108,"17,133"
138,20855,"17,123"
139,20794,"17,062"
140,20866,"16,791"
141,21211,"16,420"
142,21085,"16,350"
143,21210,"15,942"
144,21231,"15,746"
145,21046,"15,484"
146,21205,"15,319"
147,21128,"14,987"
148,21074,"14,887"
149,20639,"14,853"
150,20650,"14,852"
151,20851,"14,840"
152,20613,"14,595"
153,21054,"14,479"
154,21774,"14,450"
155,20882,"14,301"
156,21550,"14,160"
157,21666,"13,738"
158,21029,"13,507"
159,21047,"13,279"
160,20619,"13,244"
161,21532,"13,184"
162,21620,"13,083"
163,20781,"12,940"
164,20872,"12,835"
165,21769,"12,486"
166,20678,"12,415"
167,21102,"12,193"
168,20695,"11,822"
169,21788,"11,598"
170,20755,"11,253"
171,20607,"11,122"
172,21911,"11,108"
173,21842,"10,960"
174,21793,"10,862"
175,20640,"10,853"
176,21787,"10,697"
177,21853,"10,510"
178,20732,"10,447"
179,20636,"10,421"
180,21617,"10,270"
181,21048,"10,084"
182,21629,"9,999"
183,21090,"9,921"
184,21783,"9,793"
185,20712,"9,784"
186,20841,"9,760"
187,20710,"9,699"
188,21713,"9,630"
189,20736,"9,393"
190,21795,"9,292"
191,21219,"9,278"
192,21797,"8,755"
193,21035,"8,404"
194,20634,"8,198"
195,20833,"8,054"
196,21131,"7,678"
197,21032,"7,594"
198,21851,"7,364"
199,20711,"7,299"
200,21770,"7,291"
201,21084,"7,254"
202,21120,"7,243"
203,20754,"7,108"
204,21875,"7,052"
205,21154,"7,002"
206,20616,"6,934"
207,21163,"6,891"
208,20685,"6,874"
209,21727,"6,873"
210,21754,"6,847"
211,20769,"6,831"
212,20837,"6,604"
213,21716,"6,594"
214,21152,"6,420"
215,21904,"6,386"
216,21722,"6,296"
217,20637,"6,223"
218,21104,"6,212"
219,21226,"6,210"
220,21776,"6,146"
221,20722,"6,116"
222,21632,"6,090"
223,20622,"6,005"
224,21161,"5,965"
225,20759,"5,935"
226,21017,"5,816"
227,21619,"5,765"
228,21087,"5,740"
229,21755,"5,697"
230,21903,"5,658"
231,21402,"5,576"
232,21826,"5,460"
233,21773,"5,357"
234,21643,"5,332"
235,21013,"5,297"
236,21111,"5,155"
237,21638,"5,125"
238,21710,"4,960"
239,21863,"4,904"
240,21639,"4,881"
241,21791,"4,794"
242,21655,"4,679"
243,20714,"4,678"
244,21162,"4,640"
245,21830,"4,529"
246,21057,"4,485"
247,21252,"4,478"
248,21758,"4,454"
249,21918,"4,428"
250,21782,"4,358"
251,20742,"4,188"
252,21738,"4,185"
253,21817,"4,146"
254,21140,"4,063"
255,21660,"3,942"
256,21536,"3,855"
257,21849,"3,794"
258,21750,"3,782"
259,21890,"3,699"
260,21658,"3,678"
261,21663,"3,512"
262,20762,"3,419"
263,21850,"3,405"
264,21919,"3,400"
265,21746,"3,399"
266,20764,"3,371"
267,20664,"3,327"
268,20777,"3,312"
269,20861,"3,195"
270,21837,"3,164"
271,21053,"3,126"
272,21132,"3,115"
273,21562,"3,093"
274,21756,"3,069"
275,20676,"3,036"
276,21250,"3,022"
277,21034,"2,988"
278,20733,"2,938"
279,20776,"2,921"
280,21673,"2,875"
281,21005,"2,862"
282,21160,"2,809"
283,21155,"2,803"
284,21915,"2,776"
285,21631,"2,770"
286,21661,"2,667"
287,21813,"2,662"
288,21798,"2,627"
289,21757,"2,604"
290,21028,"2,562"
291,20623,"2,534"
292,20763,"2,518"
293,21651,"2,488"
294,21625,"2,479"
295,21623,"2,478"
296,20662,"2,437"
297,21539,"2,396"
298,21822,"2,364"
299,21561,"2,355"
300,21737,"2,353"
301,20689,"2,331"
302,20778,"2,287"
303,21777,"2,277"
304,21649,"2,276"
305,21874,"2,239"
306,20860,"2,237"
307,20677,"2,165"
308,21794,"2,162"
309,20751,"2,055"
310,21520,"2,048"
311,21780,"2,024"
312,21036,"1,995"
313,21917,"1,983"
314,20818,"1,934"
315,21838,"1,931"
316,21530,"1,898"
317,21531,"1,880"
318,21635,"1,871"
319,20842,"1,824"
320,21871,"1,799"
321,20675,"1,772"
322,21779,"1,759"
323,21678,"1,704"
324,21668,"1,645"
325,21640,"1,627"
326,21545,"1,625"
327,20609,"1,611"
328,21557,"1,516"
329,21541,"1,500"
330,20620,"1,488"
331,21555,"1,455"
332,20670,"1,451"
333,21521,"1,449"
334,21912,"1,393"
335,20688,"1,390"
336,21645,"1,319"
337,20693,"1,300"
338,21657,"1,226"
339,21654,"1,183"
340,21659,"1,163"
341,21856,"1,145"
342,20686,"1,135"
343,20611,"1,111"
344,20674,"1,102"
345,21711,"1,087"
346,21841,"1,085"
347,20625,"1,065"
348,20779,"1,041"
349,21869,990
350,21719,971
351,20618,941
352,21913,935
353,20658,929
354,21733,914
355,21636,912
356,21920,910
357,20896,892
358,21734,889
359,20690,886
360,20629,864
361,20624,859
362,21671,816
363,20701,787
364,20621,786
365,20684,775
366,21524,741
367,21082,740
368,21861,738
369,20608,734
370,21821,732
371 TIE,21914,725
371 TIE,21723,725
373,21612,716
374,20645,711
375,20880,700
376,21153,684
377,21778,681
378,20680,671
379,21052,670
380,20632,656
381,21664,648
382,21622,645
383,21662,641
384 TIE,21607,640
384 TIE,21864,640
386,20758,633
387,20868,624
388,20692,612
389,21767,592
390,21538,587
391,20628,586
392,20615,583
393,21872,573
394,21677,570
395,21529,557
396,20765,548
397,21766,522
398,20617,521
399,21840,465
400,21071,463
401,21405,450
402,21647,447
403,20862,444
404,21810,433
405,20687,417
406,21610,410
407,20889,407
408,21628,402
409,21156,381
410,21634,372
411,21829,365
412,20838,362
413,21865,358
414,21251,354
415 TIE,21676,347
415 TIE,20667,347
417,21543,335
418,21835,328
419,20899,322
420,20630,305
421,21714,292
422,20812,291
423,21056,274
424,21010,272
425,21679,261
426,21650,238
427,21667,226
428,20626,224
429,21624,217
430,21902,216
431,21523,201
432,21762,184
433,21717,181
434,21814,180
435,21672,162
436,20839,161
437,21652,156
438,21542,154
439,21665,151
440 TIE,21669,149
440 TIE,21051,149
442,21824,143
443,20612,132
444,21718,131
445,21641,122
446,21648,116
447,20606,101
448,21653,100
449,21866,95
450,20656,84
451,21077,76
452,21540,71
453 TIE,21130,66
453 TIE,21626,66
455,21675,62
456,21023,58
457,21781,43
458,21715,34
459,21031,26
460,21930,24
461,21627,23
462,21644,15
463,21285,12
464,21790,11
465,21560,8
466,21705,6
