Rank,Zip Code,Population
1,87121,"75,378"
2,87114,"69,717"
3,87120,"66,118"
4,87111,"57,518"
5,87124,"56,875"
6,87105,"54,138"
7,87507,"51,780"
8,87401,"47,326"
9,87144,"47,079"
10,88101,"46,158"
11,87031,"45,537"
12,87123,"44,162"
13,87112,"41,818"
14,88240,"41,204"
15,87110,"40,307"
16,87109,"40,249"
17,88220,"39,557"
18,88001,"38,524"
19,88310,"37,138"
20,87108,"36,433"
21,87505,"31,885"
22,88012,"31,276"
23,88011,"30,223"
24,88203,"30,045"
25,88005,"28,647"
26,87107,"27,981"
27,88201,"26,634"
28,87106,"25,844"
29,88007,"24,233"
30,88030,"24,139"
31,87301,"22,776"
32,87002,"20,533"
33,87532,"20,115"
34,87102,"19,056"
35,88210,"18,785"
36,87508,"18,587"
37,87701,"18,331"
38,87122,"18,022"
39,88130,"17,795"
40,88061,"17,683"
41,87113,"16,879"
42,88081,"16,310"
43,87506,"15,481"
44,88021,"15,413"
45,88260,"15,314"
46,87413,"15,134"
47,87410,"14,993"
48 TIE,87015,"14,637"
48 TIE,87501,"14,637"
50,87104,"13,468"
51,87544,"13,453"
52,87004,"11,778"
53,87571,"11,695"
54,88063,"11,522"
55,87420,"11,293"
56,87020,"11,073"
57,88008,"11,003"
58,87402,"9,792"
59,87059,"9,706"
60,87801,"9,568"
61,87048,"8,735"
62,87327,"8,445"
63,88345,"8,415"
64,88242,"7,583"
65,87035,"7,301"
66,87740,"6,968"
67,88401,"6,536"
68,87901,"6,243"
69,87547,"5,716"
70,87013,"5,648"
71,87557,"5,413"
72,87068,"5,335"
73,87313,"5,284"
74,87311,"5,074"
75,87417,"4,976"
76,87529,"4,938"
77,88230,"4,827"
78,87416,"4,581"
79,87116,"4,579"
80,87047,"4,545"
81,88352,"4,496"
82,87375,"4,477"
83,87026,"4,259"
84,87323,"4,159"
85,88330,"4,128"
86,88340,"4,005"
87,87937,"3,864"
88,87043,"3,863"
89,87001,"3,851"
90,88435,"3,613"
91,88231,"3,480"
92,87042,"3,433"
93,87528,"3,340"
94,87522,"3,301"
95,88415,"3,225"
96,87034,"3,223"
97,88045,"3,198"
98,87566,"3,120"
99,88048,"3,116"
100,86515,"3,079"
101,87319,"2,910"
102,87556,"2,904"
103 TIE,87328,"2,841"
103 TIE,88346,"2,841"
105,87021,"2,837"
106,87016,"2,818"
107,88044,"2,791"
108,88072,"2,782"
109,87052,"2,688"
110,88312,"2,616"
111,87511,"2,587"
112,87325,"2,572"
113,88232,"2,547"
114,87825,"2,528"
115,87024,"2,510"
116,87552,"2,410"
117,87008,"2,409"
118,87326,"2,383"
119,87537,"2,328"
120,88316,"2,260"
121,88023,"2,197"
122,88252,"2,156"
123,87305,"2,125"
124,88256,"2,118"
125,88317,"2,060"
126,87415,"2,057"
127,87321,"2,011"
128,87421,"1,980"
129,87051,"1,887"
130,87045,"1,885"
131,88337,"1,843"
132,87514,"1,816"
133,88119,"1,792"
134,87037,"1,771"
135,87935,"1,747"
136,88043,"1,732"
137,87036,"1,731"
138 TIE,87062,"1,702"
138 TIE,87412,"1,702"
140,88026,"1,700"
141,87151,"1,640"
142,87364,"1,638"
143,87316,"1,630"
144,87560,"1,595"
145,87747,"1,575"
146,87455,"1,565"
147,88325,"1,563"
148,87006,"1,539"
149,87553,"1,527"
150,87535,"1,482"
151,87461,"1,481"
152,88047,"1,477"
153,87710,"1,436"
154,88041,"1,426"
155,88267,"1,425"
156 TIE,87025,"1,385"
156 TIE,87007,"1,385"
158,88244,"1,378"
159,87520,"1,372"
160,88002,"1,366"
161,88301,"1,364"
162,87317,"1,327"
163,88426,"1,261"
164,87942,"1,260"
165,88135,"1,256"
166,87053,"1,253"
167,88004,"1,198"
168,87056,"1,182"
169,88029,"1,143"
170,87310,"1,120"
171,87357,"1,080"
172,87558,"1,071"
173,87579,"1,059"
174,88311,"1,057"
175,87714,"1,033"
176,87582,"1,032"
177,87575,"1,027"
178,87549,"1,023"
179,87499,"1,016"
180,87010,"1,005"
181,87711,956
182,87722,945
183,88253,937
184,87018,932
185,87510,915
186,87519,905
187,87530,898
188,87745,880
189,87540,866
190,87830,863
191,87418,859
192,88124,856
193,87821,839
194,88022,837
195,87041,828
196,87513,826
197,87732,823
198,87521,808
199,87828,789
200,87040,783
201,88020,779
202,87931,777
203,87829,770
204,88024,763
205,88046,757
206,88348,755
207,88065,738
208,88049,733
209,87941,732
210,88027,709
211,87567,704
212,88339,670
213,88341,642
214,87527,631
215,87322,630
216,87017,618
217,88039,616
218,87072,604
219,87569,603
220,87728,596
221,87752,587
222,87320,578
223,87930,573
224,87731,570
225,87715,557
226 TIE,88418,522
226 TIE,87562,522
228,87023,509
229,87014,499
230,87718,494
231,87583,482
232,88003,479
233,87940,448
234,87022,443
235,88321,441
236 TIE,87012,436
236 TIE,87419,436
238,88116,420
239,87312,417
240,88038,404
241,87083,399
242,87038,390
243,87524,388
244,88353,383
245,87578,379
246,87539,378
247,87548,376
248,87063,367
249,87027,359
250,88042,352
251,88120,340
252,87823,335
253 TIE,87517,328
253 TIE,87723,328
253 TIE,88336,328
256,87565,324
257 TIE,88318,314
257 TIE,87743,314
259,88118,309
260,87712,300
261,88250,298
262,88132,295
263,88112,277
264,87580,269
265 TIE,87742,262
265 TIE,87347,262
267,87029,260
268,87061,258
269,87049,253
270,87538,251
271 TIE,88434,250
271 TIE,87713,250
273,87734,244
274,88028,237
275,88314,222
276,87831,219
277,87046,214
278 TIE,87933,201
278 TIE,88351,201
280,87939,197
281 TIE,88113,195
281 TIE,87820,195
283,88056,186
284,87523,185
285,88121,184
286,87943,180
287,87512,177
288 TIE,88350,175
288 TIE,87531,175
288 TIE,79837,175
291 TIE,88263,172
291 TIE,87827,172
293,88338,169
294 TIE,88052,168
294 TIE,88053,168
296,88430,162
297,87577,161
298,87936,160
299,88416,149
300,87832,146
301,88265,143
302,87315,141
303,88431,139
304 TIE,88410,137
304 TIE,87551,137
306,88411,134
307,87515,131
308,87044,120
309,88134,118
310,88355,117
311,88354,112
312,87564,110
313,88427,104
314 TIE,88025,100
314 TIE,88324,100
316 TIE,88414,97
316 TIE,88051,97
318,87005,96
319,88422,95
320,87733,94
321 TIE,87749,92
321 TIE,87032,92
323,87028,87
324 TIE,87824,84
324 TIE,87064,84
326,88419,83
327,87729,80
328,87525,79
329,88125,77
330,88417,75
331,87736,65
332,88040,63
333,88424,62
334 TIE,87746,61
334 TIE,88436,61
336,87516,59
337,88255,53
338,88254,52
339,88114,48
340 TIE,88009,46
340 TIE,87753,46
342,87543,45
343,87735,43
344 TIE,88344,41
344 TIE,88055,41
346 TIE,87365,33
346 TIE,88347,33
348,88034,27
349,88136,26
350,87581,25
351,87117,24
352,87724,22
353,88421,19
354 TIE,88115,15
354 TIE,87730,15
356,87573,14
357,88343,13
358 TIE,88126,12
358 TIE,88262,12
360,87070,9
