Rank,Zip Code,Population
1,29681,"65,829"
2,29072,"65,308"
3,29485,"60,321"
4,29445,"59,809"
5,29732,"57,377"
6,29730,"56,424"
7,29483,"55,833"
8,29588,"52,184"
9,29464,"51,895"
10,29651,"51,256"
11,29223,"50,910"
12,29720,"49,870"
13,29229,"49,350"
14,29073,"48,657"
15,29501,"47,145"
16,29579,"47,118"
17,29910,"46,606"
18,29526,"46,605"
19,29621,"44,314"
20,29414,"42,665"
21,29687,"41,861"
22,29607,"41,624"
23,29466,"41,434"
24,29461,"41,317"
25,29203,"41,047"
26,29412,"41,033"
27,29708,"40,841"
28,29210,"40,269"
29,29486,"40,118"
30,29605,"39,927"
31,29715,"38,942"
32,29063,"38,703"
33,29150,"38,601"
34,29615,"38,495"
35,29803,"38,470"
36,29650,"37,664"
37,29710,"37,607"
38,29209,"37,365"
39,29407,"36,294"
40,29301,"36,124"
41,29642,"34,395"
42,29349,"34,215"
43,29577,"34,068"
44,29745,"33,329"
45,29406,"33,150"
46,29680,"32,907"
47,29841,"32,700"
48,29576,"32,394"
49,29456,"32,237"
50,29640,"31,993"
51,29611,"31,784"
52,29707,"31,310"
53,29673,"30,210"
54,29550,"29,684"
55,29609,"29,502"
56,29405,"29,087"
57,29801,"28,970"
58,29316,"28,930"
59,29045,"28,906"
60,29154,"28,459"
61,29625,"28,023"
62,29212,"27,724"
63,29617,"27,595"
64,29646,"27,562"
65,29016,"27,283"
66,29649,"27,004"
67,29440,"26,866"
68,29115,"26,678"
69,29527,"26,659"
70,29303,"26,530"
71,29906,"25,880"
72,29926,"25,519"
73,29505,"25,355"
74,29690,"25,141"
75,29036,"24,548"
76,29455,"24,354"
77,29205,"23,388"
78,29678,"22,983"
79,29418,"22,425"
80,29360,"22,143"
81,29403,"22,016"
82,29170,"21,954"
83,29909,"21,794"
84,29420,"21,711"
85,29169,"21,690"
86,29020,"21,566"
87,29488,"21,554"
88,29201,"21,176"
89,29506,"20,733"
90,29644,"20,731"
91,29340,"20,549"
92,29108,"20,541"
93,29053,"20,458"
94,29410,"20,260"
95,29706,"19,702"
96,29532,"19,666"
97,29206,"19,493"
98,29566,"19,441"
99,29341,"19,436"
100,29307,"19,260"
101,29582,"19,036"
102,29575,"18,971"
103,29492,"18,865"
104,29671,"18,534"
105,29512,"18,131"
106,29302,"18,050"
107,29204,"17,871"
108,29379,"17,569"
109,29306,"17,414"
110,29569,"16,741"
111,29118,"16,387"
112,29102,"16,351"
113,29902,"16,270"
114,29657,"16,243"
115,29627,"16,236"
116,29070,"16,208"
117,29631,"16,137"
118,29585,"16,131"
119,29536,"16,005"
120,29630,"15,900"
121,29334,"15,892"
122,29153,"15,829"
123,29860,"15,788"
124,29078,"15,686"
125,29568,"15,427"
126,29388,"15,369"
127,29369,"15,223"
128,29323,"14,949"
129,29928,"14,857"
130,29662,"14,677"
131,29907,"14,673"
132,29697,"14,552"
133,29325,"14,279"
134,29624,"14,272"
135,29571,"14,238"
136,29365,"13,971"
137,29693,"13,561"
138,29626,"13,537"
139,29520,"12,998"
140,29033,"12,789"
141,29601,"12,745"
142,29936,"12,708"
143,29669,"12,637"
144,29620,"12,513"
145,29061,"12,500"
146,29560,"12,420"
147,29691,"12,250"
148,29180,"12,229"
149,29556,"12,048"
150,29672,"11,988"
151,29010,"11,877"
152,29207,"11,396"
153,29829,"11,243"
154,29067,"11,158"
155,29161,"11,144"
156,29472,"11,074"
157,29920,"11,032"
158,29138,"10,671"
159,29812,"10,612"
160,29645,"10,563"
161,29572,"10,431"
162,29670,"10,163"
163,29654,"9,892"
164,29040,"9,769"
165,29322,"9,576"
166,29510,"9,527"
167,29728,"9,495"
168,29702,"9,472"
169,29927,"9,443"
170,29574,"9,432"
171,29330,"9,389"
172,29172,"9,290"
173,29006,"9,246"
174,29541,"9,219"
175,29851,"8,955"
176,29054,"8,852"
177,29554,"8,819"
178,29135,"8,766"
179,29376,"8,746"
180,29401,"8,587"
181,29356,"8,392"
182,29824,"8,360"
183,29127,"8,323"
184,29449,"7,936"
185,29655,"7,727"
186,29842,"7,673"
187,29123,"7,478"
188,29385,"7,476"
189,29477,"7,006"
190,29565,"6,956"
191,29160,"6,882"
192,29479,"6,704"
193,29130,"6,664"
194,29431,"6,427"
195,29853,"6,352"
196,29544,"6,309"
197,29666,"6,127"
198,29835,"6,018"
199,29555,"5,959"
200,29661,"5,892"
201,29676,"5,830"
202,29148,"5,808"
203,29003,"5,793"
204,29709,"5,668"
205,29335,"5,644"
206,29511,"5,640"
207,29684,"5,501"
208,29044,"5,473"
209,29805,"5,448"
210,29918,"5,429"
211,29696,"5,416"
212,29634,"5,409"
213,29058,"5,346"
214,29059,"5,312"
215,29164,"5,305"
216,29832,"5,192"
217,29032,"5,164"
218,29142,"5,142"
219,29048,"5,051"
220,29847,"5,045"
221,29583,"5,044"
222,29692,"5,034"
223,29591,"4,936"
224,29435,"4,919"
225,29470,"4,726"
226,29924,"4,725"
227,29042,"4,633"
228,29581,"4,573"
229,29540,"4,500"
230,29436,"4,474"
231,29831,"4,431"
232,29945,"4,419"
233,29451,"4,383"
234,29129,"4,372"
235,29940,"4,350"
236,29817,"4,310"
237,29069,"4,304"
238,29429,"4,176"
239,29372,"4,159"
240,29944,"4,122"
241,29827,"4,001"
242,29653,"3,968"
243,29128,"3,932"
244,29689,"3,918"
245,29638,"3,861"
246,29570,"3,846"
247,29168,"3,837"
248,29935,"3,825"
249,29055,"3,786"
250,29682,"3,785"
251,29718,"3,730"
252,29810,"3,682"
253,29353,"3,628"
254,29162,"3,609"
255,29590,"3,560"
256,29018,"3,501"
257,29178,"3,495"
258,29112,"3,466"
259,29384,"3,442"
260,29704,"3,417"
261,29047,"3,329"
262,29039,"3,284"
263,29714,"3,270"
264,29374,"3,235"
265,29856,"3,169"
266,29125,"3,050"
267,29332,"3,030"
268,29080,"3,020"
269,29321,"2,998"
270,29101,"2,997"
271,29075,"2,968"
272,29107,"2,870"
273,29546,"2,825"
274,29448,"2,769"
275,29584,"2,632"
276,29432,"2,625"
277,29458,"2,624"
278,29450,"2,569"
279,29643,"2,563"
280,29409,"2,539"
281,29487,"2,504"
282,29628,"2,481"
283,29809,"2,469"
284,29742,"2,449"
285,29438,"2,441"
286,29126,"2,406"
287,29038,"2,336"
288,29530,"2,332"
289,29404,"2,312"
290,29208,"2,261"
291,29056,"2,259"
292,29152,"2,250"
293,29547,"2,243"
294,29475,"2,222"
295,29482,"2,220"
296 TIE,29727,"2,214"
296 TIE,29437,"2,214"
298,29685,"2,167"
299,29729,"2,156"
300,29613,"2,151"
301,29113,"2,129"
302,29030,"2,096"
303,29743,"2,057"
304,29009,"2,039"
305,29001,"2,032"
306,29712,"2,025"
307,29137,"2,011"
308,29916,"1,989"
309,29664,"1,973"
310,29593,"1,969"
311,29468,"1,953"
312,29596,"1,943"
313,29525,"1,914"
314,29563,"1,839"
315,29031,"1,826"
316,29614,"1,820"
317,29741,"1,804"
318,29545,"1,780"
319,29052,"1,722"
320,29474,"1,720"
321,29819,"1,659"
322,29733,"1,648"
323,29481,"1,641"
324,29111,"1,625"
325,29163,"1,608"
326,29580,"1,585"
327,29726,"1,557"
328,29639,"1,534"
329,29426,"1,527"
330,29351,"1,470"
331,29014,"1,410"
332,29911,"1,404"
333,29114,"1,394"
334,29717,"1,391"
335,29471,"1,357"
336,29843,"1,310"
337,29015,"1,302"
338,29104,"1,282"
339,29635,"1,245"
340,29146,"1,215"
341,29446,"1,202"
342,29453,"1,200"
343,29564,"1,185"
344,29845,"1,175"
345 TIE,29081,"1,154"
345 TIE,29821,"1,154"
347,29424,"1,140"
348,29905,"1,106"
349,29922,"1,042"
350,29929,"1,041"
351,29686,"1,015"
352,29105,"1,002"
353,29816,961
354,29899,945
355,29439,944
356,29516,929
357,29904,923
358,29518,870
359,29037,864
360,29355,855
361,29848,772
362,29133,753
363,29145,733
364,29166,724
365,29592,718
366,29469,695
367,29434,671
368,29370,658
369,29320,651
370,29834,646
371,29828,645
372,29117,641
373,29364,622
374,29934,612
375,29943,603
376 TIE,29377,571
376 TIE,29838,571
378,29915,533
379,29921,511
380,29683,482
381,29225,476
382,29082,466
383,29065,465
384,29567,445
385,29543,422
386,29175,419
387,29849,390
388,29051,358
389,29519,328
390,29373,287
391,29346,275
392,29840,262
393,29836,260
394,29826,233
395,29658,226
396,29667,219
397,29368,207
398,29074,206
399,29452,204
400,29333,197
401,29493,195
402,29932,184
403,29939,180
404,29923,176
405 TIE,29329,171
405 TIE,29665,171
407,29594,164
408,29941,143
409,29177,132
410,29844,130
411,29659,116
412,29324,91
413,29122,84
414,29375,71
415,29378,68
416,29331,51
417,29338,49
418,29589,44
419,29046,36
420,29724,20
421,29079,12
422,29062,10
