Rank,Zip Code,Population
1,77494,"129,165"
2,77449,"119,994"
3,78660,"110,569"
4,77084,"107,864"
5,79936,"107,579"
6,77433,"103,070"
7,75052,"95,745"
8,77573,"95,111"
9,79938,"91,575"
10,78245,"90,956"
11,77479,"90,084"
12,77584,"89,358"
13,78521,"88,791"
14,77429,"88,375"
15,75217,"87,767"
16,78613,"86,066"
17,78542,"84,606"
18,78130,"84,510"
19,78666,"83,858"
20,77379,"82,125"
21,75035,"81,512"
22,78641,"81,311"
23,78577,"79,128"
24,79912,"78,470"
25,77459,"77,722"
26,77083,"77,663"
27,76063,"76,867"
28,78572,"76,645"
29,79928,"76,392"
30,75211,"75,213"
31,76244,"74,884"
32,78254,"74,490"
33,76028,"74,217"
34,77407,"73,084"
35,77845,"72,886"
36,77450,"72,197"
37,75228,"71,450"
38,77095,"71,138"
39,75002,"71,102"
40,76179,"70,425"
41,77036,"68,797"
42,78046,"68,418"
43,75067,"67,837"
44,78045,"67,730"
45,77346,"67,587"
46,75068,"65,880"
47,75243,"65,118"
48,75043,"64,845"
49,75150,"64,817"
50,75040,"64,565"
51,77386,"64,460"
52,75098,"64,326"
53,75056,"64,243"
54,78640,"63,902"
55,75071,"63,828"
56,78574,"63,660"
57,77072,"63,585"
58,77521,"63,309"
59,77373,"63,296"
60,77077,"63,168"
61,77375,"62,970"
62,78745,"62,277"
63,78251,"61,970"
64,77396,"61,720"
65,78501,"60,855"
66,78504,"60,740"
67,78520,"60,592"
68,75126,"60,232"
69,78664,"60,152"
70,78250,"60,101"
71,78665,"59,935"
72,78253,"59,752"
73,79924,"59,420"
74,76137,"59,273"
75,75149,"59,225"
76,77089,"59,042"
77,78249,"59,035"
78,77406,"58,998"
79,78753,"58,805"
80,78526,"58,713"
81,77070,"58,462"
82,75227,"58,395"
83,77015,"58,276"
84,78681,"57,451"
85,76010,"57,448"
86,77469,"57,228"
87,75061,"56,959"
88,78240,"56,810"
89,78228,"56,781"
90,78852,"56,746"
91,75115,"55,879"
92,75216,"55,108"
93,77088,"54,601"
94,78550,"54,486"
95,75007,"54,448"
96,75072,"54,446"
97,75070,"54,444"
98,78223,"54,438"
99,77546,"54,405"
100,76133,"54,186"
101,77044,"53,753"
102,78748,"53,501"
103,77388,"53,498"
104,76549,"53,138"
105,77498,"52,947"
106,75025,"52,881"
107,77082,"52,827"
108,75080,"52,420"
109,75287,"51,855"
110,75062,"51,846"
111,75074,"51,820"
112,78155,"51,656"
113,77081,"51,374"
114,78537,"51,216"
115,78207,"51,062"
116,76119,"51,037"
117,77581,"50,733"
118,78758,"50,717"
119,79907,"50,696"
120,78247,"50,588"
121,76542,"50,527"
122,77040,"50,192"
123,77099,"50,113"
124,76051,"50,066"
125,77840,"50,047"
126,78704,"49,854"
127,79424,"49,721"
128,77511,"49,600"
129,75104,"49,566"
130,75060,"49,473"
131,76116,"49,319"
132,77064,"49,305"
133,78109,"48,745"
134,78586,"48,726"
135,75023,"48,586"
136,78744,"48,524"
137,77493,"48,117"
138,75006,"48,104"
139,76131,"47,569"
140,77093,"47,417"
141,77060,"47,349"
142,75165,"47,183"
143,75154,"47,111"
144,78258,"47,072"
145,78840,"46,970"
146,75028,"46,934"
147,75093,"46,868"
148,77338,"46,780"
149,78041,"46,751"
150,78227,"46,350"
151,78233,"46,281"
152,78741,"46,147"
153,78414,"46,133"
154,77539,"45,901"
155,75044,"45,895"
156,78201,"45,767"
157,75034,"45,759"
158,78043,"45,703"
159,78541,"45,675"
160,76502,"45,515"
161,76017,"45,429"
162,77080,"45,391"
163,78759,"44,978"
164,75013,"44,807"
165,78108,"44,734"
166,75033,"44,703"
167,78582,"44,583"
168,76210,"44,367"
169,75019,"44,324"
170,76108,"44,125"
171,77057,"44,056"
172,77055,"43,780"
173,75063,"43,705"
174,75050,"43,422"
175,75024,"43,331"
176,79109,"43,167"
177,76227,"43,088"
178,78216,"43,073"
179,78230,"42,892"
180,78213,"42,767"
181,77075,"42,736"
182,77339,"42,652"
183,76513,"42,610"
184,78573,"42,523"
185,78209,"42,474"
186,75703,"42,414"
187,76112,"42,404"
188,79927,"42,140"
189,77389,"41,982"
190,78221,"41,964"
191,79423,"41,950"
192,77471,"41,723"
193,78610,"41,681"
194,78415,"41,583"
195,78552,"41,382"
196,77382,"41,233"
197,77583,"41,232"
198,78412,"41,071"
199,77705,"40,947"
200,77042,"40,861"
201,76065,"40,814"
202,77901,"40,742"
203,79762,"40,728"
204,75220,"40,671"
205,76039,"40,657"
206,77007,"40,653"
207,76248,"40,553"
208,76262,"40,159"
209,77065,"40,140"
210,79705,"40,134"
211,78028,"40,081"
212,77066,"40,053"
213,76522,"40,050"
214,78589,"39,881"
215,77063,"39,855"
216,78006,"39,830"
217,79107,"39,829"
218,75051,"39,783"
219,78154,"39,718"
220,77049,"39,514"
221,76706,"39,488"
222,77090,"39,478"
223,78628,"39,391"
224,75087,"39,202"
225,75077,"39,125"
226,77074,"39,088"
227,79925,"38,947"
228,77034,"38,875"
229,77073,"38,857"
230,75231,"38,823"
231,78237,"38,772"
232,77377,"38,689"
233,77489,"38,593"
234,76123,"38,575"
235,77320,"38,572"
236,78634,"38,529"
237,77354,"38,505"
238,75206,"38,209"
239,75042,"38,184"
240,77642,"37,881"
241,77024,"37,694"
242,77502,"37,665"
243,77009,"37,654"
244,75069,"37,479"
245,77014,"37,471"
246,76106,"37,437"
247,77535,"37,418"
248,77571,"37,298"
249,78626,"37,235"
250,77506,"37,141"
251,78040,"37,136"
252,76001,"37,134"
253,77008,"37,097"
254,78413,"36,989"
255,76180,"36,974"
256,78596,"36,852"
257,78232,"36,825"
258,77365,"36,802"
259,77087,"36,710"
260,77304,"36,700"
261,75081,"36,683"
262,78539,"36,531"
263,79915,"36,505"
264,78132,"36,475"
265,75224,"36,373"
266,78218,"36,334"
267,75248,"36,317"
268,78244,"36,233"
269,75075,"36,221"
270,79707,"36,167"
271,76904,"36,132"
272,78723,"36,114"
273,77381,"36,080"
274,77520,"36,054"
275,75078,"35,939"
276,78749,"35,933"
277,79763,"35,900"
278,77092,"35,822"
279,76021,"35,401"
280,77035,"35,335"
281,75189,"35,243"
282,75089,"35,203"
283,75501,"35,111"
284,75032,"35,056"
285,79416,"34,864"
286,76226,"34,829"
287,75904,"34,663"
288 TIE,77079,"34,633"
288 TIE,78229,"34,633"
290,78599,"34,580"
291,76013,"34,457"
292,76002,"34,402"
293,75701,"34,296"
294,77004,"34,197"
295,78717,"34,087"
296,78242,"34,084"
297,77351,"34,047"
298,78260,"34,038"
299,78210,"34,005"
300,78516,"33,963"
301,77477,"33,844"
302,75605,"33,730"
303,77017,"33,627"
304,75214,"33,621"
305,75232,"33,561"
306,76110,"33,505"
307,77515,"33,491"
308,77067,"33,420"
309,77301,"33,409"
310,76543,"33,350"
311,77536,"33,291"
312,77590,"33,272"
313,77803,"33,233"
314,78570,"33,221"
315,77047,"33,199"
316,77076,"33,171"
317,78217,"33,130"
318,77041,"33,053"
319,75229,"32,924"
320,77340,"32,826"
321,77096,"32,744"
322,75234,"32,728"
323,78602,"32,646"
324,77045,"32,627"
325,78705,"32,506"
326,76014,"32,460"
327,76020,"32,443"
328,76117,"32,438"
329,79720,"32,431"
330,76901,"32,419"
331,77038,"32,275"
332,79904,"32,148"
333,75038,"32,128"
334,75238,"31,953"
335,76705,"31,902"
336,75204,"31,860"
337,76548,"31,759"
338,75241,"31,749"
339,76140,"31,703"
340,79761,"31,566"
341,76053,"31,513"
342,75041,"31,451"
343,76092,"31,276"
344,77355,"31,164"
345,79706,"31,088"
346,76016,"31,008"
347,78653,"30,955"
348,75036,"30,925"
349,76182,"30,911"
350,78729,"30,907"
351,77530,"30,880"
352,76040,"30,787"
353,77053,"30,642"
354,78211,"30,556"
355,75110,"30,555"
356,78239,"30,482"
357,75604,"30,349"
358,79701,"30,348"
359,77566,"30,327"
360,76903,"30,312"
361,77016,"30,252"
362,75010,"30,129"
363,77532,"30,108"
364,77086,"30,071"
365,78418,"30,015"
366,77091,"30,008"
367,77357,"29,992"
368,78727,"29,991"
369,75208,"29,941"
370,76107,"29,929"
371,76401,"29,724"
372,77327,"29,710"
373,78754,"29,690"
374,76036,"29,594"
375,78750,"29,559"
376,77025,"29,539"
377,77630,"29,480"
378,78363,"29,415"
379,76240,"29,209"
380,76134,"29,208"
381,77706,"29,195"
382,77316,"29,191"
383,76049,"29,154"
384,77380,"29,095"
385,77904,"29,064"
386,75901,"28,979"
387,76087,"28,779"
388,75119,"28,765"
389 TIE,78023,"28,750"
389 TIE,76012,"28,750"
391,78617,"28,690"
392,77356,"28,689"
393,77033,"28,669"
394,79605,"28,611"
395,79932,"28,594"
396,76018,"28,553"
397,77833,"28,417"
398,76201,"28,415"
399,77018,"28,403"
400,77005,"28,310"
401,75702,"28,236"
402,78746,"28,017"
403,76114,"27,683"
404,77023,"27,676"
405,79106,"27,668"
406,78410,"27,623"
407,77039,"27,501"
408,75503,"27,361"
409,75181,"27,336"
410 TIE,75252,"27,310"
410 TIE,76712,"27,310"
412 TIE,77345,"27,274"
412 TIE,78332,"27,274"
