Rank,Zip Code,Population
1,5401,"32,724"
2,5452,"22,154"
3,5701,"20,523"
4,5403,"19,877"
5,5301,"16,560"
6,5641,"16,521"
7,5478,"16,003"
8,5446,"16,001"
9,5201,"14,831"
10,5468,"13,055"
11,5602,"12,495"
12,5753,"10,806"
13,5495,"10,628"
14,5408,"10,097"
15,5001,"9,332"
16,5819,"9,304"
17,5156,"9,251"
18,5488,"8,269"
19,5404,"8,224"
20,5855,"7,900"
21,5482,"7,714"
22,5663,"7,083"
23,5443,"6,410"
24,5851,"6,075"
25,5661,"6,052"
26,5491,"6,049"
27,5733,"6,039"
28,5465,"5,540"
29,5454,"5,343"
30,5672,"5,315"
31,5346,"5,283"
32,5450,"5,221"
33,5461,"4,813"
34,5676,"4,747"
35,5143,"4,689"
36,5060,"4,515"
37,5477,"4,374"
38,5089,"4,245"
39,5743,"4,234"
40,5101,"4,206"
41,5255,"4,085"
42,5735,"3,947"
43,5445,"3,900"
44,5091,"3,720"
45,5489,"3,561"
46,5656,"3,552"
47,5250,"3,462"
48,5055,"3,374"
49,5777,"3,315"
50,5476,"3,248"
51,5257,"3,225"
52,5464,"3,173"
53,5068,"3,158"
54,5764,"3,117"
55,5679,"3,076"
56,5763,"3,030"
57,5655,"3,009"
58,5860,"2,996"
59,5033,"2,978"
60,5048,"2,885"
61,5032,"2,655"
62,5354,"2,587"
63,5773,"2,493"
64,5843,"2,394"
65,5673,"2,363"
66,5677,"2,303"
67,5261,"2,294"
68,5458,"2,268"
69,5859,"2,241"
70,5149,"2,223"
71,5262,"2,196"
72,5680,"2,190"
73,5667,"2,184"
74,5472,"2,025"
75,5405,"2,015"
76,5363,"1,994"
77,5828,"1,900"
78,5345,"1,846"
79,5765,"1,838"
80,5759,"1,833"
81,5440,"1,783"
82,5061,"1,754"
83,5822,"1,735"
84,5658,"1,720"
85,5660,"1,719"
86,5151,"1,717"
87,5487,"1,697"
88,5045,"1,646"
89,5462,"1,634"
90,5674,"1,632"
91,5486,"1,593"
92,5251,"1,572"
93,5459,"1,544"
94,5494,"1,525"
95,5444,"1,518"
96,5457,"1,508"
97,5829,"1,503"
98,5353,"1,471"
99,5038,"1,451"
100,5473,"1,398"
101,5148,"1,393"
102,5871,"1,381"
103,5651,"1,380"
104,5836,"1,372"
105,5455,"1,371"
106,5906,"1,370"
107,5483,"1,357"
108,5439,"1,347"
109,5857,"1,345"
110,5830,"1,327"
111,5046,"1,322"
112,5845,"1,318"
113,5654,"1,310"
114,5682,"1,305"
115,5738,"1,279"
116,5767,"1,250"
117,5846,"1,247"
118,5734,"1,244"
119,5769,"1,225"
120,5051,"1,217"
121,5739,"1,214"
122,5474,"1,211"
123,5077,"1,208"
124,5647,"1,202"
125,5065,"1,198"
126,5043,"1,173"
127 TIE,5075,"1,128"
127 TIE,5824,"1,128"
129,5832,"1,115"
130,5361,"1,114"
131,5158,"1,112"
132,5770,"1,092"
133,5732,"1,083"
134,5036,"1,058"
135,5088,"1,038"
136,5039,"1,019"
137,5037,986
138,5821,965
139,5774,964
140 TIE,5650,954
140 TIE,5456,954
142,5847,945
143,5675,930
144 TIE,5343,926
144 TIE,5761,926
144 TIE,5872,926
147,5352,882
148,5669,868
149,5905,858
150,5492,856
151,5079,839
152,5778,826
153,5760,807
154,5757,805
155,5161,796
156,5448,795
157,5142,789
158,5772,788
159,5355,787
160,5153,783
161,5350,755
162,5866,752
163,5867,746
164,5471,741
165,5903,739
166,5652,735
167,5839,733
168,5853,720
169,5155,705
170,5035,698
171,5751,697
172,5040,687
173,5826,668
174,5069,651
175,5340,648
176,5873,645
177,5775,642
178,5874,633
179,5758,631
180,5359,622
181,5737,619
182,5653,617
183,5081,610
184,5342,609
185,5341,601
186 TIE,5648,589
186 TIE,5742,589
188,5736,588
189,5042,586
190,5252,579
191,5441,576
192,5072,574
193,5086,567
194,5842,566
195,5766,549
196,5059,544
197,5146,543
198,5463,541
199,5154,533
200,5649,532
201,5356,529
202,5827,513
203,5253,509
204,5076,501
205,5748,479
206,5344,460
207,5152,457
208,5062,449
209,5070,442
210,5875,430
211,5254,420
212,5150,416
213 TIE,5260,400
213 TIE,5442,400
215,5820,397
216,5358,396
217,5744,393
218,5776,387
219,5360,379
220,5841,373
221,5762,372
222,5837,364
223,5730,359
224,5862,336
225,5056,330
226,5053,322
227,5858,320
228,5850,304
229,5747,300
230,5351,266
231,5362,263
232,5030,256
233,5640,242
234,5083,220
235,5041,216
236,5904,194
237,5034,186
238,5052,184
239,5058,172
240,5141,164
241,5067,155
242,5681,139
243,5071,123
244,5050,113
245,5902,112
246,5670,110
247 TIE,5447,103
247 TIE,5907,103
249,5868,96
250,5084,88
251,5678,81
252,5825,62
253,5666,49
254,5840,44
255,5833,42
256,5768,39
257,5031,19
258,5901,16
